code_commune,nom_commune,code_departement,nom_departement,nom_region,latitude,longitude,image_1,image_2,image_3,image_4
22226,Ploumilliau,22,Côtes-d'Armor,Bretagne,48.67262679760238,-3.533572069098672,images\image_407_heading_0.jpg,images\image_407_heading_1.jpg,images\image_407_heading_2.jpg,images\image_407_heading_3.jpg
22310,Saint-Laurent,22,Côtes-d'Armor,Bretagne,48.6120929952446,-3.2637107172637374,images\image_408_heading_0.jpg,images\image_408_heading_1.jpg,images\image_408_heading_2.jpg,images\image_408_heading_3.jpg
22034,Cavan,22,Côtes-d'Armor,Bretagne,48.67377320883971,-3.3488868141361023,images\image_410_heading_0.jpg,images\image_410_heading_1.jpg,images\image_410_heading_2.jpg,images\image_410_heading_3.jpg
22122,Laurenan,22,Côtes-d'Armor,Bretagne,48.20183046192296,-2.5172014299970153,images\image_411_heading_0.jpg,images\image_411_heading_1.jpg,images\image_411_heading_2.jpg,images\image_411_heading_3.jpg
22295,Saint-Gilles-Vieux-Marché,22,Côtes-d'Armor,Bretagne,48.235358740941955,-3.0004693190196243,images\image_413_heading_0.jpg,images\image_413_heading_1.jpg,images\image_413_heading_2.jpg,images\image_413_heading_3.jpg
22055,Binic-Étables-sur-Mer,22,Côtes-d'Armor,Bretagne,48.613006746706645,-2.8322487126991196,images\image_414_heading_0.jpg,images\image_414_heading_1.jpg,images\image_414_heading_2.jpg,images\image_414_heading_3.jpg
22219,Plouguenast-Langast,22,Côtes-d'Armor,Bretagne,48.27747225809634,-2.69137697766791,images\image_415_heading_0.jpg,images\image_415_heading_1.jpg,images\image_415_heading_2.jpg,images\image_415_heading_3.jpg
22278,Saint-Brieuc,22,Côtes-d'Armor,Bretagne,48.51140461306677,-2.7595578740601727,images\image_416_heading_0.jpg,images\image_416_heading_1.jpg,images\image_416_heading_2.jpg,images\image_416_heading_3.jpg
22210,Ploubazlanec,22,Côtes-d'Armor,Bretagne,48.808380072345194,-3.032022935545992,images\image_417_heading_0.jpg,images\image_417_heading_1.jpg,images\image_417_heading_2.jpg,images\image_417_heading_3.jpg
22269,Runan,22,Côtes-d'Armor,Bretagne,48.68187918363973,-3.2295995769845227,images\image_418_heading_0.jpg,images\image_418_heading_1.jpg,images\image_418_heading_2.jpg,images\image_418_heading_3.jpg
22092,Kerpert,22,Côtes-d'Armor,Bretagne,48.380491188880995,-3.163395080149774,images\image_419_heading_0.jpg,images\image_419_heading_1.jpg,images\image_419_heading_2.jpg,images\image_419_heading_3.jpg
23098,Jalesches,23,Creuse,Nouvelle-Aquitaine,46.300662416653175,2.095722185232546,images\image_420_heading_0.jpg,images\image_420_heading_1.jpg,images\image_420_heading_2.jpg,images\image_420_heading_3.jpg
23113,Lupersat,23,Creuse,Nouvelle-Aquitaine,45.968011895528576,2.363739187614253,images\image_421_heading_0.jpg,images\image_421_heading_1.jpg,images\image_421_heading_2.jpg,images\image_421_heading_3.jpg
23191,Saint-Éloi,23,Creuse,Nouvelle-Aquitaine,46.07057066085325,1.8139804891606046,images\image_423_heading_0.jpg,images\image_423_heading_1.jpg,images\image_423_heading_2.jpg,images\image_423_heading_3.jpg
23096,Guéret,23,Creuse,Nouvelle-Aquitaine,46.19558811535551,1.8808220418092727,images\image_424_heading_0.jpg,images\image_424_heading_1.jpg,images\image_424_heading_2.jpg,images\image_424_heading_3.jpg
23200,Saint-Goussaud,23,Creuse,Nouvelle-Aquitaine,46.06249710226185,1.5537835041823538,images\image_425_heading_0.jpg,images\image_425_heading_1.jpg,images\image_425_heading_2.jpg,images\image_425_heading_3.jpg
23227,Saint-Pardoux-Morterolles,23,Creuse,Nouvelle-Aquitaine,45.900756236066336,1.840916775700786,images\image_427_heading_0.jpg,images\image_427_heading_1.jpg,images\image_427_heading_2.jpg,images\image_427_heading_3.jpg
23164,Rougnat,23,Creuse,Nouvelle-Aquitaine,46.08291997273276,2.5008437990801937,images\image_428_heading_0.jpg,images\image_428_heading_1.jpg,images\image_428_heading_2.jpg,images\image_428_heading_3.jpg
23165,Royère-de-Vassivière,23,Creuse,Nouvelle-Aquitaine,45.819530967315195,1.9307087509462073,images\image_429_heading_0.jpg,images\image_429_heading_1.jpg,images\image_429_heading_2.jpg,images\image_429_heading_3.jpg
23189,Saint-Dizier-Masbaraud,23,Creuse,Nouvelle-Aquitaine,46.02597092771197,1.6771524528468558,images\image_430_heading_0.jpg,images\image_430_heading_1.jpg,images\image_430_heading_2.jpg,images\image_430_heading_3.jpg
23208,Saint-Léger-le-Guérétois,23,Creuse,Nouvelle-Aquitaine,46.16016858064294,1.8121334979266828,images\image_431_heading_0.jpg,images\image_431_heading_1.jpg,images\image_431_heading_2.jpg,images\image_431_heading_3.jpg
23245,Saint-Sulpice-le-Guérétois,23,Creuse,Nouvelle-Aquitaine,46.218104326180054,1.824008355912064,images\image_432_heading_0.jpg,images\image_432_heading_1.jpg,images\image_432_heading_2.jpg,images\image_432_heading_3.jpg
23205,Saint-Junien-la-Bregère,23,Creuse,Nouvelle-Aquitaine,45.883834707001974,1.7560476585192781,images\image_433_heading_0.jpg,images\image_433_heading_1.jpg,images\image_433_heading_2.jpg,images\image_433_heading_3.jpg
23171,Sermur,23,Creuse,Nouvelle-Aquitaine,45.96771899696653,2.4192073954831423,images\image_436_heading_0.jpg,images\image_436_heading_1.jpg,images\image_436_heading_2.jpg,images\image_436_heading_3.jpg
23176,La Souterraine,23,Creuse,Nouvelle-Aquitaine,46.23707695712263,1.4976081332364601,images\image_438_heading_0.jpg,images\image_438_heading_1.jpg,images\image_438_heading_2.jpg,images\image_438_heading_3.jpg
23223,Saint-Moreil,23,Creuse,Nouvelle-Aquitaine,45.887018083534194,1.6969667241820703,images\image_439_heading_0.jpg,images\image_439_heading_1.jpg,images\image_439_heading_2.jpg,images\image_439_heading_3.jpg
24354,La Roche-Chalais,24,Dordogne,Nouvelle-Aquitaine,45.13880858698788,-0.00280704681020746,images\image_440_heading_0.jpg,images\image_440_heading_1.jpg,images\image_440_heading_2.jpg,images\image_440_heading_3.jpg
24568,Vélines,24,Dordogne,Nouvelle-Aquitaine,44.85690640005251,0.10621326256561453,images\image_441_heading_0.jpg,images\image_441_heading_1.jpg,images\image_441_heading_2.jpg,images\image_441_heading_3.jpg
